CoRoT,Year,Month,Day,FileName_a,FileName_b,FileName_c
102753336,2007,2,3,130553,20070402,70158
102753476,2007,2,3,130553,20070402,70158
102753846,2007,2,3,130553,20070402,70126
102753962,2007,2,3,130553,20070402,70158
102754035,2007,2,3,130553,20070402,70158
102754104,2007,2,3,130553,20070402,70158
102754115,2007,2,3,130553,20070402,70158
102754530,2007,2,3,130553,20070402,70158
102754581,2007,2,3,130553,20070402,70158
102754851,2007,2,3,130553,20070402,70126
102754866,2007,2,3,130553,20070402,70158
102754972,2007,2,3,130553,20070402,70158
102755019,2007,2,3,130553,20070402,70158
102755024,2007,2,3,130553,20070402,70126
102755069,2007,2,3,130553,20070402,70126
102755117,2007,2,3,130553,20070402,70158
102755216,2007,2,3,130553,20070402,70158
102755281,2007,2,3,130553,20070402,70158
102755369,2007,2,3,130553,20070402,70126
102755634,2007,2,3,130553,20070402,70158
102755636,2007,2,3,130553,20070402,70126
102755653,2007,2,3,130553,20070402,70126
102755708,2007,2,3,130553,20070402,70158
102755795,2007,2,3,130553,20070402,70158
102755814,2007,2,3,130553,20070402,70126
102756157,2007,2,3,130553,20070402,70126
102756221,2007,2,3,130553,20070402,70158
102756332,2007,2,3,130553,20070402,70126
102756480,2007,2,3,130553,20070402,70158
102756636,2007,2,3,130553,20070402,70158
102756677,2007,2,3,130553,20070402,70126
102756828,2007,2,3,130553,20070402,70126
102757373,2007,2,3,130553,20070402,70158
102757409,2007,2,3,130553,20070402,70126
102757453,2007,2,3,130553,20070402,70158
102757561,2007,2,3,130553,20070402,70158
102757626,2007,2,3,130553,20070402,70158
102757871,2007,2,3,130553,20070402,70126
102757904,2007,2,3,130553,20070402,70126
102757940,2007,2,3,130553,20070402,70158
102757943,2007,2,3,130553,20070402,70158
102758308,2007,2,3,130553,20070402,70158
102758436,2007,2,3,130553,20070402,70158
102758516,2007,2,3,130553,20070402,70158
102758752,2007,2,3,130553,20070402,70126
102759076,2007,2,3,130553,20070402,70158
102759167,2007,2,3,130553,20070402,70158
102759273,2007,2,3,130553,20070402,70158
102759370,2007,2,3,130553,20070402,70126
102759431,2007,2,3,130553,20070402,70158
102759686,2007,2,3,130553,20070402,70126
102759697,2007,2,3,130553,20070402,70158
102759850,2007,2,3,130553,20070402,70158
102759970,2007,2,3,130553,20070402,70158
102760130,2007,2,3,130553,20070402,70158
102760134,2007,2,3,130553,20070402,70158
102760221,2007,2,3,130553,20070402,70158
102760248,2007,2,3,130553,20070402,70158
102760646,2007,2,3,130553,20070402,70158
102760690,2007,2,3,130553,20070402,70126
102760888,2007,2,3,130553,20070402,70126
102760900,2007,2,3,130553,20070402,70158
102761152,2007,2,3,130553,20070402,70158
102761558,2007,2,3,130553,20070402,70158
102761611,2007,2,3,130553,20070402,70158
102761631,2007,2,3,130553,20070402,70158
102761769,2007,2,3,130553,20070402,70126
102761871,2007,2,3,130553,20070402,70126
102761876,2007,2,3,130553,20070402,70158
102761878,2007,2,3,130553,20070402,70126
102762136,2007,2,3,130553,20070402,70158
102762175,2007,2,3,130553,20070402,70158
102762356,2007,2,3,130553,20070402,70158
102762433,2007,2,3,130553,20070402,70126
102762467,2007,2,3,130553,20070402,70158
102762620,2007,2,3,130553,20070402,70158
